,PE,ROE,Sector
LOW,17.927303,,Consumer Cyclical
LULU,9.604073,0.34013,Consumer Cyclical
LITE,161.2053,0.22834998,Technology
LYB,,-0.060089998,Basic Materials
MTB,12.091574,0.102910005,Financial Services
MPC,16.34058,0.27458,Energy
MAR,39.224556,,Consumer Cyclical
MRSH,20.24625,0.27571,Financial Services
MLM,35.212177,0.0947,Basic Materials
MAS,17.054457,84.57143,Industrials
MA,28.563732,2.32076,Financial Services
MKC,7.67541,0.25347,Consumer Defensive
MCD,23.041256,,Consumer Cyclical
MCK,19.645834,,Healthcare
MDT,21.675978,0.0939,Healthcare
MRK,33.629215,0.18944,Healthcare
META,22.275011,0.32930002,Communication Services
MET,16.106382,0.13014,Financial Services
MTD,25.864958,,Healthcare
MGM,52.671234,0.13488,Consumer Cyclical
MCHP,445.68182,0.03405,Technology
MU,42.198776,0.39823002,Technology
MSFT,24.74896,0.34013999,Technology
MAA,39.557575,0.06711,Real Estate
MRNA,,-0.36556998,Healthcare
TAP,,-0.18080999,Consumer Defensive
MDLZ,30.316833,0.101610005,Consumer Defensive
MPWR,119.03937,0.19574,Technology
MNST,42.231884,0.26654,Consumer Defensive
MCO,32.360115,0.71361,Financial Services
MS,18.275362,0.16388,Financial Services
MOS,161.57143,0.0059399996,Basic Materials
MSI,33.10323,0.99289,Technology
MSCI,33.55302,,Financial Services
NDAQ,27.373493,0.162,Financial Services
NTAP,23.313757,1.12587,Technology
NFLX,28.283873,0.48494998,Communication Services
NEM,14.476006,0.25832,Basic Materials
NWSA,33.16456,0.06524,Communication Services
NWS,37.911392,0.06524,Communication Services
NEE,22.246193,0.10325,Utilities
NKE,29.565788,0.16016,Consumer Cyclical
NI,23.781094,0.091120005,Utilities
NDSN,30.751068,0.1714,Industrials
NSC,26.954546,0.17615,Industrials
NTRS,17.794764,0.14462,Financial Services
NOC,17.454546,0.28511998,Industrials
NCLH,13.790323,0.29533002,Consumer Cyclical
NRG,154.31866,0.062480003,Utilities
NUE,23.861967,0.12285,Basic Materials
